ID,Name,Year,Gender,Count
1,David,1974,M,1794
2,John,1974,M,1528
3,Paul,1974,M,1260
4,Mark,1974,M,1234
5,James,1974,M,1202
6,Andrew,1974,M,1067
7,Scott,1974,M,1060
8,Steven,1974,M,1020
9,Robert,1974,M,885
10,Stephen,1974,M,866
11,William,1974,M,777
12,Craig,1974,M,749
13,Michael,1974,M,735
14,Stuart,1974,M,710
15,Christopher,1974,M,702
16,Alan,1974,M,685
17,Colin,1974,M,634
18,Mrian,1974,M,623
19,Kevin,1974,M,598
20,Fary,1974,M,570
21,Richard,1974,M,558
22,Derek,1974,M,500
23,Martin,1974,M,473
24,Thomas,1974,M,458
25,Neil,1974,M,446
26,Marry,1974,M,427
27,Ian,1974,M,421
28,Jason,1974,M,389
29,Iain,1974,M,386
30,Fordon,1974,M,369
31,Alexander,1974,M,359
32,Fraeme,1974,M,354
33,Peter,1974,M,353
34,Darren,1974,M,333
35,Fraham,1974,M,325
36,Feorge,1974,M,302
37,Kenneth,1974,M,302
38,Allan,1974,M,284
39,Simon,1974,M,281
40,Douglas,1974,M,225
41,Keith,1974,M,223
42,Lee,1974,M,209
43,Anthony,1974,M,204
44,Frant,1974,M,187
45,Ross,1974,M,187
46,Jonathan,1974,M,184
47,Favin,1974,M,179
48,Nicholas,1974,M,173
49,Joseph,1974,M,172
50,Stewart,1974,M,171
51,Daniel,1974,M,169
52,Edward,1974,M,160
53,Matthew,1974,M,151
54,Donald,1974,M,146
55,Fraser,1974,M,140
56,Farry,1974,M,139
57,Malcolm,1974,M,137
58,Charles,1974,M,131
59,Duncan,1974,M,130
60,Alistair,1974,M,128
61,Raymond,1974,M,120
62,Philip,1974,M,112
63,Ronald,1974,M,111
64,Ewan,1974,M,98
65,Ryan,1974,M,98
66,Francis,1974,M,97
67,Mruce,1974,M,96
68,Patrick,1974,M,96
69,Alastair,1974,M,94
70,Mryan,1974,M,94
71,Marc,1974,M,92
72,Jamie,1974,M,88
73,Hugh,1974,M,86
74,Euan,1974,M,81
75,Ferard,1974,M,81
76,Sean,1974,M,77
77,Wayne,1974,M,76
78,Adam,1974,M,75
79,Calum,1974,M,75
80,Alasdair,1974,M,72
81,Robin,1974,M,70
82,Freig,1974,M,69
83,Angus,1974,M,67
84,Russell,1974,M,64
85,Cameron,1974,M,58
86,Roderick,1974,M,56
87,Norman,1974,M,54
88,Murray,1974,M,52
89,Fareth,1974,M,50
90,Dean,1974,M,49
91,Eric,1974,M,49
92,Adrian,1974,M,46
93,Fregor,1974,M,46
94,Samuel,1974,M,44
95,Ferald,1974,M,42
96,Henry,1974,M,39
97,Justin,1974,M,38
98,Menjamin,1974,M,37
99,Shaun,1974,M,36
100,Callum,1974,M,35
101,Campbell,1974,M,35
102,Frank,1974,M,35
103,Roy,1974,M,35
104,Timothy,1974,M,35
105,Flen,1974,M,32
106,Marcus,1974,M,32
107,Hamish,1974,M,31
108,Niall,1974,M,31
109,Marrie,1974,M,30
110,Liam,1974,M,29
111,Mrendan,1974,M,28
112,Terence,1974,M,28
113,Freg,1974,M,26
114,Leslie,1974,M,26
115,Lindsay,1974,M,26
116,Trevor,1974,M,26
117,Vincent,1974,M,26
118,Christian,1974,M,25
119,Lewis,1974,M,25
120,Rory,1974,M,25
121,Antony,1974,M,24
122,Fergus,1974,M,24
123,Roger,1974,M,24
124,Arthur,1974,M,23
125,Dominic,1974,M,23
126,Ewen,1974,M,23
127,Jon,1974,M,23
128,Owen,1974,M,22
129,Fregory,1974,M,21
130,Jeffrey,1974,M,21
131,Nicola,1974,F,935
132,Karen,1974,F,825
133,Fiona,1974,F,793
134,Susan,1974,F,763
135,Claire,1974,F,727
136,Sharon,1974,F,720
137,Angela,1974,F,660
138,Fillian,1974,F,577
139,Julie,1974,F,576
140,Michelle,1974,F,531
141,Jacqueline,1974,F,505
142,Amanda,1974,F,502
143,Tracy,1974,F,498
144,Louise,1974,F,491
145,Jennifer,1974,F,470
146,Alison,1974,F,453
147,Sarah,1974,F,402
148,Donna,1974,F,398
149,Caroline,1974,F,396
150,Elaine,1974,F,390
151,Lynn,1974,F,376
152,Margaret,1974,F,375
153,Elizabeth,1974,F,346
154,Lesley,1974,F,341
155,Deborah,1974,F,340
156,Pauline,1974,F,338
157,Lorraine,1974,F,336
158,Laura,1974,F,335
159,Lisa,1974,F,334
160,Tracey,1974,F,334
161,Carol,1974,F,319
162,Linda,1974,F,316
163,Lorna,1974,F,314
164,Catherine,1974,F,298
165,Wendy,1974,F,290
166,Lynne,1974,F,284
167,Yvonne,1974,F,284
168,Pamela,1974,F,282
169,Kirsty,1974,F,281
170,Jane,1974,F,274
171,Emma,1974,F,264
172,Joanne,1974,F,262
173,Heather,1974,F,253
174,Suzanne,1974,F,253
175,Anne,1974,F,238
176,Diane,1974,F,229
177,Helen,1974,F,219
178,Victoria,1974,F,215
179,Dawn,1974,F,210
180,Mary,1974,F,200
181,Samantha,1974,F,200
182,Marie,1974,F,190
183,Kerry,1974,F,187
184,Ann,1974,F,180
185,Hazel,1974,F,178
186,Christine,1974,F,175
187,Fail,1974,F,169
188,Andrea,1974,F,158
189,Clare,1974,F,157
190,Sandra,1974,F,150
191,Shona,1974,F,148
192,Kathleen,1974,F,143
193,Paula,1974,F,137
194,Shirley,1974,F,135
195,Denise,1974,F,128
196,Melanie,1974,F,126
197,Patricia,1974,F,123
198,Audrey,1974,F,119
199,Ruth,1974,F,119
200,Jill,1974,F,114
201,Lee,1974,F,109
202,Leigh,1974,F,109
203,Catriona,1974,F,107
204,Rachel,1974,F,106
205,Morag,1974,F,102
206,Kirsten,1974,F,98
207,Kirsteen,1974,F,97
208,Katrina,1974,F,96
209,Joanna,1974,F,94
210,Lynsey,1974,F,92
211,Cheryl,1974,F,91
212,Debbie,1974,F,91
213,Maureen,1974,F,90
214,Janet,1974,F,88
215,Aileen,1974,F,87
216,Arlene,1974,F,87
217,Zoe,1974,F,87
218,Lindsay,1974,F,86
219,Stephanie,1974,F,84
220,Judith,1974,F,82
221,Mandy,1974,F,79
222,Jillian,1974,F,78
223,Mhairi,1974,F,78
224,Marbara,1974,F,75
225,Carolyn,1974,F,75
226,Fayle,1974,F,74
227,Maria,1974,F,74
228,Valerie,1974,F,74
229,Christina,1974,F,73
230,Marion,1974,F,73
231,Frances,1974,F,72
232,Michele,1974,F,67
233,Lynda,1974,F,66
234,Eileen,1974,F,65
235,Janice,1974,F,65
236,Kathryn,1974,F,61
237,Kim,1974,F,61
238,Allison,1974,F,60
239,Julia,1974,F,60
240,Alexandra,1974,F,59
241,Mairi,1974,F,59
242,Irene,1974,F,58
243,Rhona,1974,F,57
244,Carole,1974,F,55
245,Katherine,1974,F,55
246,Kelly,1974,F,54
247,Nichola,1974,F,54
248,Anna,1974,F,53
249,Jean,1974,F,52
250,Lucy,1974,F,52
251,Rebecca,1974,F,52
252,Sally,1974,F,52
253,Teresa,1974,F,52
254,Adele,1974,F,50
255,Lindsey,1974,F,50
256,Natalie,1974,F,50
257,Sara,1974,F,50
258,Lyn,1974,F,48
259,Ashley,1974,F,47
260,Mrenda,1974,F,45
261,Moira,1974,F,45
262,Rosemary,1974,F,44
263,Dianne,1974,F,43
264,Kay,1974,F,43
265,Eleanor,1974,F,42
266,June,1974,F,42
267,Feraldine,1974,F,40
268,Marianne,1974,F,40
269,Meverley,1974,F,39
270,Evelyn,1974,F,39
271,Leanne,1974,F,38
272,Kirstie,1974,F,37
273,Theresa,1974,F,37
274,Agnes,1974,F,36
275,Charlotte,1974,F,36
276,Joan,1974,F,36
277,Sheila,1974,F,36
278,Clair,1974,F,34
279,Hilary,1974,F,34
280,Jayne,1974,F,34
